tis1099_code,iso3166_2,name_en_canonical,name_th,name_alternates_en,region,capital,capital_th,established_year,centroid_lat,centroid_lon,notes
10,TH-10,Bangkok,กรุงเทพมหานคร,,Central,Bangkok,กรุงเทพมหานคร,,13.75,100.516666666,"Bangkok is administratively a special administrative area (เขตการปกครองพิเศษ), not a province. Treated as ADM1 here for compatibility with the dominant downstream join pattern."
11,TH-11,Samut Prakan,สมุทรปราการ,,Central,Samut Prakan,สมุทรปราการ,,13.623,100.61,
12,TH-12,Nonthaburi,นนทบุรี,,Central,Nonthaburi,นนทบุรี,,13.889,100.441,
13,TH-13,Pathum Thani,ปทุมธานี,,Central,Pathum Thani,ปทุมธานี,,14.0425,100.582,
14,TH-14,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,,Central,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,,14.372,100.539,
15,TH-15,Ang Thong,อ่างทอง,,Central,Ang Thong,อ่างทอง,,14.606,100.398,
16,TH-16,Lopburi,ลพบุรี,Loburi,Central,Lopburi,ลพบุรี,,15.035,100.6995,
17,TH-17,Sing Buri,สิงห์บุรี,,Central,Sing Buri,สิงห์บุรี,,14.869,100.363,
18,TH-18,Chai Nat,ชัยนาท,,Central,Chai Nat,ชัยนาท,,15.163,100.107,
19,TH-19,Saraburi,สระบุรี,,Central,Saraburi,สระบุรี,,14.565,100.868,
20,TH-20,Chon Buri,ชลบุรี,,East,Chon Buri,ชลบุรี,,13.328,101.0885,
21,TH-21,Rayong,ระยอง,,East,Rayong,ระยอง,,12.783,101.377,
22,TH-22,Chanthaburi,จันทบุรี,,East,Chanthaburi,จันทบุรี,,12.644,102.109,
23,TH-23,Trat,ตราด,,East,Trat,ตราด,,12.243,102.504,
24,TH-24,Chachoengsao,ฉะเชิงเทรา,,East,Chachoengsao,ฉะเชิงเทรา,,13.6845,101.1005,
25,TH-25,Prachin Buri,ปราจีนบุรี,,East,Prachin Buri,ปราจีนบุรี,,13.9965,101.506,
26,TH-26,Nakhon Nayok,นครนายก,,Central,Nakhon Nayok,นครนายก,,14.186,101.1115,
27,TH-27,Sa Kaeo,สระแก้ว,,East,Sa Kaeo,สระแก้ว,,13.741,102.325,
30,TH-30,Nakhon Ratchasima,นครราชสีมา,,Northeast,Nakhon Ratchasima,นครราชสีมา,,15.097,102.198,
31,TH-31,Buri Ram,บุรีรัมย์,,Northeast,Buri Ram,บุรีรัมย์,,14.871,102.9815,
32,TH-32,Surin,สุรินทร์,,Northeast,Surin,สุรินทร์,,14.955,103.6825,
33,TH-33,Si Sa Ket,ศรีสะเกษ,,Northeast,Si Sa Ket,ศรีสะเกษ,,14.928,104.294,
34,TH-34,Ubon Ratchathani,อุบลราชธานี,,Northeast,Ubon Ratchathani,อุบลราชธานี,,15.314,105.03,
35,TH-35,Yasothon,ยโสธร,,Northeast,Yasothon,ยโสธร,,15.838,104.293,
36,TH-36,Chaiyaphum,ชัยภูมิ,,Northeast,Chaiyaphum,ชัยภูมิ,,15.9355,101.953,
37,TH-37,Amnat Charoen,อำนาจเจริญ,,Northeast,Amnat Charoen,อำนาจเจริญ,,15.846,104.689,
38,TH-38,Bueng Kan,บึงกาฬ,,Northeast,Bueng Kan,บึงกาฬ,2011,18.099,103.714,
39,TH-39,Nong Bua Lam Phu,หนองบัวลำภู,,Northeast,Nong Bua Lam Phu,หนองบัวลำภู,,17.168,102.304,
40,TH-40,Khon Kaen,ขอนแก่น,,Northeast,Khon Kaen,ขอนแก่น,,16.459,102.636,
41,TH-41,Udon Thani,อุดรธานี,,Northeast,Udon Thani,อุดรธานี,,17.411,102.94,
42,TH-42,Loei,เลย,,Northeast,Loei,เลย,,17.418,101.7185,
43,TH-43,Nong Khai,หนองคาย,,Northeast,Nong Khai,หนองคาย,,17.8975,102.746,
44,TH-44,Maha Sarakham,มหาสารคาม,,Northeast,Maha Sarakham,มหาสารคาม,,15.997,103.176,
45,TH-45,Roi Et,ร้อยเอ็ด,,Northeast,Roi Et,ร้อยเอ็ด,,15.962,103.8045,
46,TH-46,Kalasin,กาฬสินธุ์,,Northeast,Kalasin,กาฬสินธุ์,,16.5965,103.5765,
47,TH-47,Sakon Nakhon,สกลนคร,,Northeast,Sakon Nakhon,สกลนคร,,17.362,103.814,
48,TH-48,Nakhon Phanom,นครพนม,,Northeast,Nakhon Phanom,นครพนม,,17.273,104.515,
49,TH-49,Mukdahan,มุกดาหาร,,Northeast,Mukdahan,มุกดาหาร,1982,16.494,104.523,
50,TH-50,Chiang Mai,เชียงใหม่,,North,Chiang Mai,เชียงใหม่,1910,18.796,98.97,
51,TH-51,Lamphun,ลำพูน,,North,Lamphun,ลำพูน,,18.438,98.97,
52,TH-52,Lampang,ลำปาง,,North,Lampang,ลำปาง,1892,18.31,99.484,
53,TH-53,Uttaradit,อุตรดิตถ์,,North,Uttaradit,อุตรดิตถ์,,17.646,100.2125,
54,TH-54,Phrae,แพร่,,North,Phrae,อำเภอเมืองแพร่,,18.1525,100.1555,
55,TH-55,Nan,น่าน,,North,Nan,น่าน,,18.8495,100.8295,
56,TH-56,Phayao,พะเยา,,North,Phayao,พะเยา,1977,19.273,100.074,
57,TH-57,Chiang Rai,เชียงราย,,North,Chiang Rai,เชียงราย,,19.882,99.902,
58,TH-58,Mae Hong Son,แม่ฮ่องสอน,,North,Mae Hong Son,แม่ฮ่องสอน,,18.6875,98.039,
60,TH-60,Nakhon Sawan,นครสวรรค์,,Central,Nakhon Sawan,นครสวรรค์,,15.719,100.169,
61,TH-61,Uthai Thani,อุทัยธานี,,Central,Uthai Thani,อุทัยธานี,,15.389,99.843,
62,TH-62,Kamphaeng Phet,กำแพงเพชร,,Central,Kamphaeng Phet,กำแพงเพชร,,16.371,99.673,
63,TH-63,Tak,ตาก,,West,Tak,ตาก,,16.888,98.862,
64,TH-64,Sukhothai,สุโขทัย,,Central,Sukhothai Thani,สุโขทัยธานี,,17.157,99.8215,"Provincial capital is Sukhothai Thani (สุโขทัยธานี), genuinely a different name from the province itself rather than a spelling variant; preserved as-is per the capital-name normalization rule."
65,TH-65,Phitsanulok,พิษณุโลก,,Central,Phitsanulok,พิษณุโลก,,16.839,100.306,
66,TH-66,Phichit,พิจิตร,,Central,Phichit,พิจิตร,,16.245,100.363,
67,TH-67,Phetchabun,เพชรบูรณ์,,Central,Phetchabun,เพชรบูรณ์,,16.3095,101.142,
70,TH-70,Ratchaburi,ราชบุรี,,West,Ratchaburi,ราชบุรี,,13.6025,99.8345,
71,TH-71,Kanchanaburi,กาญจนบุรี,,West,Kanchanaburi,กาญจนบุรี,,14.1165,99.5485,
72,TH-72,Suphan Buri,สุพรรณบุรี,,Central,Suphan Buri,สุพรรณบุรี,,14.506,100.041,
73,TH-73,Nakhon Pathom,นครปฐม,,Central,Nakhon Pathom,นครปฐม,,13.858,100.13,
74,TH-74,Samut Sakhon,สมุทรสาคร,,Central,Samut Sakhon,สมุทรสาคร,,13.5965,100.233,
75,TH-75,Samut Songkhram,สมุทรสงคราม,,Central,Samut Songkhram,สมุทรสงคราม,,13.4365,99.953,
76,TH-76,Phetchaburi,เพชรบุรี,,West,Phetchaburi,เพชรบุรี,,13.065,99.898,
77,TH-77,Prachuap Khiri Khan,ประจวบคีรีขันธ์,,West,Prachuap Khiri Khan,ประจวบคีรีขันธ์,,12.024,99.6655,
80,TH-80,Nakhon Si Thammarat,นครศรีธรรมราช,,South,Nakhon Si Thammarat,นครศรีธรรมราช,,8.3155,99.888,
81,TH-81,Krabi,กระบี่,,South,Krabi,กระบี่,,8.089,98.9925,
82,TH-82,Phangnga,พังงา,,South,Phangnga,พังงา,,8.5395,98.4285,
83,TH-83,Phuket,ภูเก็ต,,South,Phuket,ภูเก็ต,,7.919,98.3395,
84,TH-84,Surat Thani,สุราษฎร์ธานี,,South,Surat Thani,สุราษฎร์ธานี,,9.075,99.227,
85,TH-85,Ranong,ระนอง,,South,Ranong,ระนอง,,10.0125,98.7145,
86,TH-86,Chumphon,ชุมพร,,South,Chumphon,ชุมพร,,10.3355,99.113,
90,TH-90,Songkhla,สงขลา,,South,Songkhla,สงขลา,,7.0105,100.488,
91,TH-91,Satun,สตูล,,South,Satun,สตูล,,6.803,99.936,
92,TH-92,Trang,ตรัง,,South,Trang,ตรัง,,7.549,99.596,
93,TH-93,Phatthalung,พัทลุง,,South,Phatthalung,พัทลุง,,7.545,100.067,
94,TH-94,Pattani,ปัตตานี,,South,Pattani,ปัตตานี,,6.762,101.352,
95,TH-95,Yala,ยะลา,,South,Yala,ยะลา,,6.4745,101.2555,
96,TH-96,Narathiwat,นราธิวาส,,South,Narathiwat,นราธิวาส,,6.257,101.753,
